keyword,fertility
doxepin,0.6738156094236039
Anafranil,-0.3768307921484601
Clomipramin,-0.4933344404171922
Bupropion,0.711420011976787
Celexa,-0.7367323317416069
Cymbalta,-0.13213665849759557
desyrel,-0.706954376950828
Trazodon,0.828532878305727
venlafaxin,0.8544329154185712
Selegilin,-0.41312334673339246
spravato,-0.45612920559368064
Perphenazin,-0.20624836283136214
Amitriptylin,0.8732945521599049
elavil,-0.49448583263023893
Desvenlafaxin,-0.451281336975452
lurasidon,-0.3361891968743214
lamictal,-0.6903720482748829
Lamotrigin,0.8683344103220761
lexapro,-0.4794571114677726
Chlordiazepoxid,-0.4635976916877529
marplan,-0.5853770138531862
nardil,-0.5591899183406072
Phenelzin,-0.49772559012514467
Desipramin,-0.28453889785612446
Tranylcypromin,-0.3619991081045509
paxil,-0.6004844911490991
Paroxetin,-0.06338710153383922
prozac,-0.7304602572895315
pristiq,-0.7380424134201554
Quetiapin,0.9060125603438275
Nefazodon,-0.6059865396196005
Imipramin,-0.3651541349450453
vortioxetin,0.05292445455578055
vilazodone,-0.44714801730373305
wellbutrin,-0.5377246904473987
zoloft,-0.7244859295439146
sertraline,0.6523386042014546
xanax,0.6169247846286957
Alprazolam,0.5636242558541388
Gaspreis,-0.7207770396603678
Benzinpreis,0.7407921184510458
diesel price,0.8808978600477673
Autofinanzierung,-0.4017889951748992
Leasing,0.5524329681036522
tesla model s,0.9059112997074339
tesla model 3,0.8331990149267372
Autozulassung,-0.5093510266663113
Fahrprüfung,0.540589750961295
mercedes benz,0.4172274042601475
bmw,0.8022890072339184
volkswagen,-0.5436604551730517
vw,0.9144447442088819
volkswagen golf,-0.45148464435722824
peugeot 208,0.8122321202094442
dacia sandero,0.7243254228461701
skoda octavia,0.8951641938160347
ford f150,0.8727901353694736
Autismus,0.8382420108412488
Chemtrails,0.603566526625371
27 Club,0.40078385293808044
Neue Weltordnung,0.006232590857754865
George Soros,0.8421107713253689
Soros,0.8442787867031096
Freimaurerei,-0.7348991808052212
Roswell UFO,-0.6249086295678401
UFO,-0.5394373705185022
Kornkreis,0.146723155161446
Kropfbildung,-0.2227060921857428
Illuminaten,-0.5614291744291614
911,0.6329311350762155
Sandy Hook,0.25483261811138763
jeffrey epstein,0.38938705965219844
Epstein,0.4989804301628923
Teeparty,-0.5599573059272748
Frankfurter Schule,-0.6890599594525021
Tiefer Staat,0.11967542148653314
QAnon,0.3428651559216242
Antifa,-0.7429092361561511
Fluorid,0.9136021338193817
HAARP,-0.17589688361457723
Flache Erde,0.7926781548226457
assange,0.311003422802191
wikileaks,-0.13919458678117727
snowden,0.526817827944654
Edward Snowden,0.5538161103998799
Mondlandung,-0.4024267127201249
erich von däniken,-0.756377503211976
Giorgio A. Tsoukalos,-0.4781070045233674
Tsoukalos,-0.20366391299974798
Reptilien,-0.8383996681104575
der Plan,-0.041715286338264594
eurabien,-0.4818753317523996
Ahnungslose,-0.7701145070896473
Ku-Klux-Klan,-0.7719136590518341
Malcom X,-0.7099175876815822
Martin Luther King,-0.6702720793974455
Dr. König,0.5686980469626334
ps5,0.30305499638711236
ps4,0.9700744339985085
ps3,-0.26017162810937233
xbox one,0.9083607464717828
xbox serie x,-0.04720280291402565
playstation,-0.03622555133049211
nintendo,0.2783118656990014
lidl,0.9075488582851866
walmart,-0.7134002137525594
costco,-0.2023959769239613
tesco,-0.29893451114454656
kaufland,0.8919228917397384
Vollwertkost,-0.7447260647130198
Dollar General,-0.23789040697279337
iphone,0.6174352388489642
macbook,0.7764453265847555
ikea,0.9094200780574788
Kondome,0.019665669391621163
Pillen,0.42693303215749956
Verhütungsmittel,-0.4055478553393291
Vasektomie,0.7957891505420446
Pille danach,0.8500839819135959
Rigevidon,-0.48099009954179184
Postinor,-0.5215888722057642
Plan B,-0.05279795892235648
Frau schlägt mich,-0.2477783395140965
Universität,-0.7272153766680157
Hochschule,0.645246214820374
Kindergarten,0.9078878328371122
Kindergärten in meiner Nähe,-0.32789883227342026
Schule,0.3816512391002257
Bildung,-0.742175408615552
Sprachkurs,-0.6940688236133417
Mathe,0.43118366372311073
Chemie,-0.6104408711012881
Englisch,0.9151443660619555
deutsch,0.9031300659177677
spanisch,0.5900241223612241
Kalkül,0.42094489003726276
Community College,-0.7994101999118332
Lauf,0.6624480669802022
Einkäufe,0.5547115671170842
Scio,-0.43547515661626246
Harvard-Universität,-0.505015332063457
MIT,0.9270542632380322
